,Churn,Sexo_Biologico,Tiene_Tercera_Edad,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Tiene_Telefonia,Tiene_Multiples_Lineas,Servicio_Internet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Tipo_Contrato,PaperlessBilling,Metodo_Pago,Cuentas_Mensual,Cuentas_Total,Cuentas_Diarias,Tiene_Internet,Nro_Servicios
0,0,0,0,1,1,9,1,0,DSL,0,1,0,1,1,0,One year,1,Mailed check,65.6,593.3,2.19,1,5
1,0,1,0,0,0,9,1,1,DSL,0,0,0,0,0,1,Month-to-month,0,Mailed check,59.9,542.4,2.0,1,4
2,1,1,0,0,0,4,1,0,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,73.9,280.85,2.46,1,3
3,1,1,1,1,0,13,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.0,1237.85,3.27,1,6
4,1,0,1,1,0,3,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,83.9,267.4,2.8,1,4
5,0,0,0,0,1,9,1,0,DSL,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),69.4,571.45,2.31,1,5
6,0,0,1,1,0,71,1,0,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),109.7,7904.25,3.66,1,8
7,0,1,0,1,0,63,1,1,Fiber optic,1,0,0,1,0,0,Two year,1,Credit card (automatic),84.65,5377.8,2.82,1,5
8,0,0,1,0,0,7,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,48.2,340.35,1.61,1,3
9,0,0,0,1,1,65,1,1,DSL,1,1,1,1,1,1,Two year,1,Mailed check,90.45,5957.9,3.02,1,9
10,0,1,0,0,0,54,0,0,DSL,1,0,0,1,1,0,Two year,0,Credit card (automatic),45.2,2460.55,1.51,1,4
11,0,0,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),116.8,8456.75,3.89,1,9
12,0,0,0,1,0,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,68.95,351.5,2.3,1,2
13,0,0,0,0,0,72,1,1,Fiber optic,1,1,1,0,1,0,Two year,1,Bank transfer (automatic),101.3,7261.25,3.38,1,7
